,driverStandingsId,raceId,driverId,points,position,positionText,wins
0,1,18,1,10.0,1,1,1
1,2,18,2,8.0,2,2,0
2,3,18,3,6.0,3,3,0
3,4,18,4,5.0,4,4,0
4,5,18,5,4.0,5,5,0
5,6,18,6,3.0,6,6,0
6,7,18,7,2.0,7,7,0
7,8,18,8,1.0,8,8,0
8,9,19,1,14.0,1,1,1
9,10,19,2,11.0,3,3,0
10,11,19,3,6.0,6,6,0
11,12,19,4,6.0,7,7,0
12,13,19,5,10.0,4,4,0
13,14,19,6,3.0,9,9,0
14,15,19,7,2.0,10,10,0
15,16,19,8,11.0,2,2,1
16,17,19,9,8.0,5,5,0
17,18,19,15,5.0,8,8,0
18,19,19,17,2.0,11,11,0
19,20,19,14,0.0,12,12,0
20,21,19,18,0.0,13,13,0
21,22,19,12,0.0,14,14,0
22,23,19,21,0.0,15,15,0
23,24,19,22,0.0,16,16,0
24,25,19,19,0.0,17,17,0
25,26,19,11,0.0,18,18,0
26,27,20,1,14.0,3,3,1
27,28,20,2,16.0,2,2,0
28,29,20,3,7.0,8,8,0
29,30,20,4,6.0,9,9,0
30,31,20,5,14.0,5,5,0
31,32,20,6,3.0,11,11,0
32,33,20,7,2.0,12,12,0
33,34,20,8,19.0,1,1,1
34,35,20,9,14.0,4,4,0
35,36,20,15,8.0,7,7,0
36,37,20,17,4.0,10,10,0
37,38,20,14,0.0,13,13,0
38,39,20,18,0.0,15,15,0
39,40,20,12,0.0,17,17,0
40,41,20,21,0.0,18,18,0
41,42,20,22,0.0,16,16,0
42,43,20,19,0.0,19,19,0
43,44,20,11,0.0,20,20,0
44,45,20,13,10.0,6,6,1
45,46,20,10,0.0,14,14,0
46,47,20,16,0.0,21,21,0
47,48,21,1,20.0,2,2,1
48,49,21,2,16.0,5,5,0
49,50,21,3,7.0,9,9,0
50,51,21,4,6.0,10,10,0
51,52,21,5,14.0,6,6,0
52,53,21,6,5.0,11,11,0
53,54,21,7,2.0,13,13,0
54,55,21,8,29.0,1,1,2
55,56,21,9,19.0,3,3,0
56,57,21,15,9.0,7,7,0
57,58,21,17,8.0,8,8,0
58,59,21,14,0.0,15,15,0
59,60,21,18,3.0,12,12,0
60,61,21,12,0.0,18,18,0
61,62,21,21,0.0,16,16,0
62,63,21,22,0.0,17,17,0
63,64,21,19,0.0,20,20,0
64,65,21,11,0.0,19,19,0
65,66,21,13,18.0,4,4,1
66,67,21,10,0.0,14,14,0
67,68,21,16,0.0,21,21,0
68,69,22,1,28.0,3,3,1
69,70,22,2,20.0,5,5,0
70,71,22,3,8.0,10,10,0
71,72,22,4,9.0,8,8,0
72,73,22,5,14.0,6,6,0
73,74,22,6,5.0,11,11,0
74,75,22,7,2.0,13,13,0
75,76,22,8,35.0,1,1,2
76,77,22,9,24.0,4,4,0
77,78,22,15,9.0,9,9,0
78,79,22,17,10.0,7,7,0
79,80,22,14,0.0,14,14,0
80,81,22,18,3.0,12,12,0
81,82,22,12,0.0,18,18,0
82,83,22,21,0.0,16,16,0
83,84,22,22,0.0,17,17,0
84,85,22,19,0.0,20,20,0
85,86,22,11,0.0,19,19,0
86,87,22,13,28.0,2,2,2
87,88,22,10,0.0,15,15,0
88,89,22,16,0.0,21,21,0
89,90,22,20,0.0,22,22,0
90,91,23,1,38.0,1,1,2
91,92,23,2,20.0,5,5,0
92,93,23,3,8.0,10,10,0
93,94,23,4,9.0,8,8,0
94,95,23,5,15.0,6,6,0
95,96,23,6,7.0,11,11,0
96,97,23,7,2.0,15,15,0
97,98,23,8,35.0,2,2,2
98,99,23,9,32.0,4,4,0
99,100,23,15,9.0,9,9,0
100,101,23,17,15.0,7,7,0
101,102,23,14,0.0,16,16,0
102,103,23,18,3.0,13,13,0
103,104,23,12,0.0,19,19,0
104,105,23,21,0.0,18,18,0
105,106,23,22,3.0,14,14,0
106,107,23,19,0.0,21,21,0
107,108,23,11,0.0,20,20,0
108,109,23,13,34.0,3,3,2
109,110,23,10,0.0,17,17,0
110,111,23,16,0.0,22,22,0
111,112,23,20,4.0,12,12,0
112,113,24,1,38.0,2,2,2
113,114,24,2,28.0,5,5,0
114,115,24,3,8.0,10,10,0
115,116,24,4,9.0,9,9,0
116,117,24,5,15.0,6,6,0
117,118,24,6,7.0,11,11,0
118,119,24,7,2.0,17,17,0
119,120,24,8,35.0,4,4,2
120,121,24,9,42.0,1,1,1
121,122,24,15,12.0,8,8,0
122,123,24,17,15.0,7,7,0
123,124,24,14,6.0,12,12,0
124,125,24,18,3.0,16,16,0
125,126,24,12,0.0,19,19,0
126,127,24,21,0.0,18,18,0
127,128,24,22,5.0,15,15,0
128,129,24,19,0.0,21,21,0
129,130,24,11,0.0,20,20,0
130,131,24,13,38.0,3,3,2
131,132,24,10,5.0,13,13,0
132,133,24,16,0.0,22,22,0
133,134,24,20,5.0,14,14,0
134,135,25,1,38.0,4,4,2
135,136,25,2,28.0,5,5,0
136,137,25,3,8.0,10,10,0
137,138,25,4,10.0,9,9,0
138,139,25,5,20.0,6,6,0
139,140,25,6,7.0,11,11,0
140,141,25,7,2.0,18,18,0
141,142,25,8,43.0,3,3,2
142,143,25,9,46.0,2,2,1
143,144,25,15,18.0,7,7,0
144,145,25,17,18.0,8,8,0
145,146,25,14,6.0,12,12,0
146,147,25,18,3.0,16,16,0
147,148,25,12,2.0,17,17,0
148,149,25,21,0.0,19,19,0
149,150,25,22,5.0,15,15,0
150,151,25,19,0.0,21,21,0
151,152,25,11,0.0,20,20,0
152,153,25,13,48.0,1,1,3
153,154,25,10,5.0,13,13,0
154,155,25,16,0.0,22,22,0
155,156,25,20,5.0,14,14,0
156,157,26,1,48.0,1,1,3
157,158,26,2,36.0,5,5,0
158,159,26,3,8.0,11,11,0
159,160,26,4,13.0,9,9,0
160,161,26,5,24.0,6,6,0
161,162,26,6,8.0,12,12,0
162,163,26,7,2.0,17,17,0
163,164,26,8,48.0,3,3,2
164,165,26,9,46.0,4,4,1
165,166,26,15,20.0,7,7,0
166,167,26,17,18.0,8,8,0
167,168,26,14,6.0,13,13,0
168,169,26,18,3.0,16,16,0
169,170,26,12,2.0,18,18,0
170,171,26,21,0.0,19,19,0
171,172,26,22,11.0,10,10,0
172,173,26,19,0.0,21,21,0
173,174,26,11,0.0,20,20,0
174,175,26,13,48.0,2,2,3
175,176,26,10,5.0,14,14,0
176,177,26,16,0.0,22,22,0
177,178,26,20,5.0,15,15,0
178,179,27,1,58.0,1,1,4
179,180,27,2,41.0,5,5,0
180,181,27,3,8.0,12,12,0
181,182,27,4,13.0,9,9,0
182,183,27,5,28.0,6,6,0
183,184,27,6,8.0,13,13,0
184,185,27,7,2.0,18,18,0
185,186,27,8,51.0,3,3,2
186,187,27,9,48.0,4,4,1
187,188,27,15,20.0,7,7,0
188,189,27,17,18.0,8,8,0
189,190,27,14,6.0,14,14,0
190,191,27,18,3.0,17,17,0
191,192,27,12,10.0,11,11,0
192,193,27,21,0.0,19,19,0
193,194,27,22,11.0,10,10,0
194,195,27,19,0.0,22,22,0
195,196,27,11,0.0,20,20,0
196,197,27,13,54.0,2,2,3
197,198,27,10,5.0,16,16,0
198,199,27,16,0.0,21,21,0
199,200,27,20,6.0,15,15,0
200,201,28,1,62.0,1,1,4
201,202,28,2,41.0,5,5,0
202,203,28,3,8.0,13,13,0
203,204,28,4,18.0,8,8,0
204,205,28,5,38.0,6,6,1
205,206,28,6,8.0,14,14,0
206,207,28,7,2.0,18,18,0
207,208,28,8,57.0,2,2,2
208,209,28,9,49.0,4,4,1
209,210,28,15,22.0,7,7,0
210,211,28,17,18.0,9,9,0
211,212,28,14,6.0,15,15,0
212,213,28,18,3.0,17,17,0
213,214,28,12,13.0,11,11,0
214,215,28,21,0.0,19,19,0
215,216,28,22,11.0,12,12,0
216,217,28,19,0.0,22,22,0
217,218,28,11,0.0,20,20,0
218,219,28,13,54.0,3,3,3
219,220,28,10,13.0,10,10,0
220,221,28,16,0.0,21,21,0
221,222,28,20,6.0,16,16,0
222,223,29,1,70.0,1,1,4
223,224,29,2,41.0,6,6,0
224,225,29,3,9.0,13,13,0
225,226,29,4,18.0,8,8,0
